scenario_id,instrument_id,shock_ratio,shock_rationale,scenario_version,record_hash
TECHNOLOGY_CORRECTION,LMT_US,-0.0100000000,Limited direct technology exposure assumption.,1.0.0,b8041820de81b81266c3c7a5c1adec759665a25f89c11e8cbd981ad19f8c2660
GEOPOLITICAL_SUPPLY_SHOCK,NVDA_US,-0.1700000000,Semiconductor supply-dependence assumption.,1.0.0,ffc629254fe873982281cb25b766d3523d6df657949b8d2b10718777edb0601c
GEOPOLITICAL_SUPPLY_SHOCK,AAPL_US,-0.1100000000,Global hardware supply-chain sensitivity assumption.,1.0.0,4ed586ac1778edbb9feaa2924f90e160cb9bc761492260278d56fc19463331ea
GEOPOLITICAL_SUPPLY_SHOCK,GOOGL_US,-0.0700000000,Broader risk-off technology sensitivity assumption.,1.0.0,7f0cd24d9ac9835573941178a90897aae4525d71228a648a5c40d843c4ebb0a3
GEOPOLITICAL_SUPPLY_SHOCK,MSFT_US,-0.0600000000,Broader risk-off enterprise technology assumption.,1.0.0,89562e3816daa6f80e15bb8530a0bbcbfb3731f4c84416b81b57363b536f9145
GEOPOLITICAL_SUPPLY_SHOCK,TSM_US,-0.3200000000,Concentrated semiconductor supply-disruption assumption.,1.0.0,0fef538ca1669fbc0827180e9c4360cb0f9c4616fe4800d5faba5b45805b7c4e
GEOPOLITICAL_SUPPLY_SHOCK,AVGO_US,-0.1900000000,Semiconductor infrastructure disruption assumption.,1.0.0,74e3a586981f95c4eb9afea5bb26dea0bbebc3db9376d2fb19f3252d5a45bc96
GEOPOLITICAL_SUPPLY_SHOCK,AMZN_US,-0.0900000000,Global logistics and risk-off demand assumption.,1.0.0,7ded691df063f17b032bf5e85068239c64b78556cba72bb86ac0731c6b2e6d87
GEOPOLITICAL_SUPPLY_SHOCK,WMT_US,-0.0600000000,Import and logistics cost sensitivity assumption.,1.0.0,aea862c8dea2adaeba90141e3e3ea1e43d85151f525f83605264165cd1079eea
GEOPOLITICAL_SUPPLY_SHOCK,LLY_US,-0.0300000000,Lower but nonzero global supply sensitivity assumption.,1.0.0,75716df85b71767d5dcc97175ad775f87f996bb39cbc0cb0779c2f1f1551de62
GEOPOLITICAL_SUPPLY_SHOCK,UNH_US,-0.0500000000,Defensive healthcare with macro uncertainty assumption.,1.0.0,11bf30f048575d3196eaea4f8dc8e3468bf757e58977500bf1c3f63ab5c2f696
GEOPOLITICAL_SUPPLY_SHOCK,JPM_US,-0.1100000000,Credit and risk-off market sensitivity assumption.,1.0.0,ebfcdb691636816a1371803db3d6f73f06cdf649ea5bc63ae11d1a972ab47f9b
GEOPOLITICAL_SUPPLY_SHOCK,BRK_B_US,-0.0800000000,Diversified macro and insurance sensitivity assumption.,1.0.0,fd50e09d4e98bad56137614215a4f6a0293f6762feae25690ac6b53baf901fb4
GEOPOLITICAL_SUPPLY_SHOCK,XOM_US,0.1600000000,Hypothetical energy-price increase assumption.,1.0.0,08000e92436693c5f06d4e482b4f5b037136714dd68aab725b091fb1bae7b7cb
GEOPOLITICAL_SUPPLY_SHOCK,TSLA_US,-0.1400000000,Supply-chain and high-volatility sensitivity assumption.,1.0.0,a6ee863b499d2ab85fd84a7f13d5d9e6fcabb8afba6c43dee5cae84ec0d4e153
GEOPOLITICAL_SUPPLY_SHOCK,LMT_US,0.1300000000,Hypothetical defense-demand increase assumption.,1.0.0,b381c8de4baa463047ad7353c150e3359c1decd059b4f5e3944a438d5b0911fa
